Date,Truck_Number,Area,Location,Start Time,End Time,Number Of Refueling,Sales_Amount,Feul Fee,Profit,Fuel Price,Total Sales (L),utilization,capacity_used,profit_per_liter,Location_rank,Truck_Rank
11 Azar,Fuel Truck36,5.0,ferdos blv,8.33,11.0,1.0,4500.0,5000.0,135000000.0,35000.0,157500000.0,0.9,0.9,30000.0,993000000.0,993000000.0
11 Azar,Fuel Truck37,5.0,iran shahr,8.33,11.0,1.0,3300.0,5000.0,99000000.0,35000.0,115500000.0,0.66,0.66,30000.0,801000000.0,801000000.0
11 Azar,Fuel Truck38,6.0,amir abad,8.33,11.0,1.0,460.0,5000.0,13800000.0,35000.0,16100000.0,0.092,0.092,30000.0,135600000.0,135600000.0
11 Azar,Fuel Truck39,6.0,yusef abad,8.33,11.0,2.0,7000.0,5000.0,210000000.0,35000.0,245000000.0,1.4,1.4,30000.0,1653000000.0,1653000000.0
11 Azar,Fuel Truck40,6.0,keshavarz,8.33,11.0,3.0,14400.0,5000.0,432000000.0,35000.0,504000000.0,2.88,2.88,30000.0,3063000000.0,3063000000.0
11 Azar,Fuel Truck41,6.0,vali asr,8.33,11.0,5.0,21500.0,5000.0,645000000.0,35000.0,752500000.0,4.3,4.3,30000.0,4209000000.0,4209000000.0
11 Azar,Fuel Truck42,6.0,university of tehran,8.33,11.0,2.0,8700.0,5000.0,261000000.0,35000.0,304500000.0,1.74,1.74,30000.0,1784400000.0,1784400000.0
,,,,,,,,,,,,,,,,
12 azar,Fuel Truck1,1.0,Ajudanieh,8.0,11.0,1.0,2000.0,5000.0,60000000.0,35000.0,70000000.0,0.4,0.4,30000.0,508500000.0,508500000.0
12 azar,Fuel Truck2,1.0,Farmaniyeh,8.13,11.0,1.0,3000.0,5000.0,90000000.0,35000.0,105000000.0,0.6,0.6,30000.0,714000000.0,714000000.0
12 azar,Fuel Truck3,1.0,Andarzgoo 1,8.17,11.0,2.0,5900.0,5000.0,177000000.0,35000.0,206500000.0,1.18,1.18,30000.0,1386000000.0,1386000000.0
12 azar,Fuel Truck4,1.0,andarzgoo 2,8.31,11.0,2.0,6900.0,5000.0,207000000.0,35000.0,241500000.0,1.38,1.38,30000.0,1371000000.0,1371000000.0
12 azar,Fuel Truck5,1.0,Pasdaran,8.0,11.0,1.0,3300.0,5000.0,99000000.0,35000.0,115500000.0,0.66,0.66,30000.0,799500000.0,799500000.0
12 azar,Fuel Truck6,1.0,ekhtiariyeh,8.12,11.0,1.0,1800.0,5000.0,54000000.0,35000.0,63000000.0,0.36,0.36,30000.0,402600000.0,402600000.0
12 azar,Fuel Truck7,1.0,tajrish 1,8.24,11.0,2.0,7600.0,5000.0,228000000.0,35000.0,266000000.0,1.52,1.52,30000.0,2151000000.0,2151000000.0
12 azar,Fuel Truck8,1.0,tajrish 2 ,8.45,11.0,2.0,9800.0,5000.0,294000000.0,35000.0,343000000.0,1.96,1.96,30000.0,2322000000.0,2322000000.0
12 azar,Fuel Truck9,1.0,velenjak 1 ,8.51,11.0,1.0,2400.0,5000.0,72000000.0,35000.0,84000000.0,0.48,0.48,30000.0,678000000.0,678000000.0
12 azar,Fuel Truck10,1.0,velenjak 2,9.01,11.0,1.0,4400.0,5000.0,132000000.0,35000.0,154000000.0,0.88,0.88,30000.0,1058940000.0,1058940000.0
12 azar,Fuel Truck11,2.0,modiriat,7.45,11.0,2.0,7800.0,5000.0,234000000.0,35000.0,273000000.0,1.56,1.56,30000.0,1604700000.0,1604700000.0
12 azar,Fuel Truck12,2.0,dadman,8.23,11.0,1.0,3500.0,5000.0,105000000.0,35000.0,122500000.0,0.7,0.7,30000.0,879000000.0,879000000.0
12 azar,Fuel Truck13,2.0,sepehr,8.41,11.0,1.0,3200.0,5000.0,96000000.0,35000.0,112000000.0,0.64,0.64,30000.0,786510000.0,786510000.0
12 azar,Fuel Truck14,2.0,farahzad,8.55,11.0,1.0,1400.0,5000.0,42000000.0,35000.0,49000000.0,0.28,0.28,30000.0,365250000.0,365250000.0
12 azar,Fuel Truck15,2.0,Sanat Square,8.33,11.0,1.0,1400.0,5000.0,42000000.0,35000.0,49000000.0,0.28,0.28,30000.0,2103000000.0,2103000000.0
12 azar,Fuel Truck16,2.0,iran zamin 1,8.33,11.0,2.0,8700.0,5000.0,261000000.0,35000.0,304500000.0,1.74,1.74,30000.0,1821000000.0,1821000000.0
12 azar,Fuel Truck17,2.0,iran zamin 2,8.33,11.0,2.0,7600.0,5000.0,228000000.0,35000.0,266000000.0,1.52,1.52,30000.0,1537500000.0,1537500000.0
12 azar,Fuel Truck18,3.0,dolat,8.33,11.0,2.0,6000.0,5000.0,180000000.0,35000.0,210000000.0,1.2,1.2,30000.0,1193100000.0,1193100000.0
12 azar,Fuel Truck19,3.0,kaveh blv,8.33,11.0,2.0,7600.0,5000.0,228000000.0,35000.0,266000000.0,1.52,1.52,30000.0,1725000000.0,1725000000.0
12 azar,Fuel Truck20,3.0,nemati,8.33,11.0,1.0,1260.0,5000.0,37800000.0,35000.0,44100000.0,0.252,0.252,30000.0,203400000.0,203400000.0
12 azar,Fuel Truck21,3.0,shariati ,8.33,11.0,3.0,13400.0,5000.0,402000000.0,35000.0,469000000.0,2.68,2.68,30000.0,2967000000.0,2967000000.0
12 azar,Fuel Truck22,3.0,daroos,8.33,11.0,2.0,5900.0,5000.0,177000000.0,35000.0,206500000.0,1.18,1.18,30000.0,1229400000.0,1229400000.0
12 azar,Fuel Truck23,3.0,shahrzad,8.33,11.0,1.0,870.0,5000.0,26100000.0,35000.0,30450000.0,0.174,0.174,30000.0,243900000.0,243900000.0
